ATTEMPT_TIMES,COST,GAP
1,7535,11.2506
2,7659,13.0814
3,7525,11.1029
4,7556,11.5606
5,7591,12.0774
6,7639,12.7861
7,7564,11.6787
8,7618,12.476
9,7522,11.0586
10,7734,14.1887
11,7619,12.4908
12,7635,12.727
13,7590,12.0626
14,7575,11.8411
15,7505,10.8076
16,7545,11.3982
17,7689,13.5243
18,7572,11.7968
19,7502,10.7633
20,7675,13.3176
21,7716,13.9229
22,7714,13.8934
23,7561,11.6344
24,7447,9.95128
25,7508,10.8519
26,7755,14.4987
27,7685,13.4652
28,7573,11.8116
29,7482,10.468
30,7501,10.7486
