ATTEMPT_TIMES,COST,GAP
1,443,3.99061
2,445,4.46009
3,445,4.46009
4,452,6.10329
5,465,9.15493
6,449,5.39906
7,447,4.92958
8,439,3.05164
9,444,4.22535
10,454,6.57277
11,451,5.86854
12,434,1.87793
13,459,7.74648
14,450,5.6338
15,444,4.22535
16,443,3.99061
17,446,4.69484
18,453,6.33803
19,461,8.21596
20,452,6.10329
21,451,5.86854
22,458,7.51174
23,448,5.16432
24,450,5.6338
25,458,7.51174
26,466,9.38967
27,452,6.10329
28,441,3.52113
29,447,4.92958
30,455,6.80751
