ATTEMPT_TIMES,COST,GAP
1,9451,367.871
2,9541,372.327
3,9695,379.95
4,9200,355.446
5,9120,351.485
6,9094,350.198
7,9735,381.931
8,9240,357.426
9,9581,374.307
10,9736,381.98
11,9440,367.327
12,9723,381.337
13,9322,361.485
14,9572,373.861
15,9726,381.485
16,9226,356.733
17,9410,365.842
18,9332,361.98
19,9793,384.802
20,9354,363.069
21,9140,352.475
22,9350,362.871
23,9311,360.941
24,9360,363.366
25,9411,365.891
26,9633,376.881
27,9476,369.109
28,9831,386.683
29,9171,354.01
30,9162,353.564
