ATTEMPT_TIMES,COST,GAP
1,8116,7.61071
2,8392,11.2702
3,7979,5.79422
4,8239,9.24158
5,8016,6.28481
6,8471,12.3177
7,8318,10.289
8,8382,11.1376
9,8162,8.22063
10,8114,7.5842
11,8234,9.17529
12,7775,3.08937
13,8196,8.67144
14,8400,11.3763
15,8120,7.66375
16,7979,5.79422
17,8380,11.1111
18,8148,8.035
19,7947,5.36993
20,8003,6.11244
21,8430,11.7741
22,8293,9.95757
23,8247,9.34765
24,8128,7.76982
25,8619,14.28
26,8746,15.9639
27,8023,6.37762
28,7902,4.77327
29,8349,10.7001
30,8703,15.3938
