ATTEMPT_TIMES,COST,GAP
1,5599,105.846
2,5814,113.75
3,5761,111.801
4,5679,108.787
5,5613,106.36
6,5576,105
7,5629,106.949
8,5834,114.485
9,5635,107.169
10,5513,102.684
11,5695,109.375
12,5614,106.397
13,5780,112.5
14,5697,109.449
15,5706,109.779
16,5518,102.868
17,5536,103.529
18,5534,103.456
19,5694,109.338
20,5777,112.39
21,5541,103.713
22,5505,102.39
23,5673,108.566
24,5643,107.463
25,5412,98.9706
26,5742,111.103
27,5697,109.449
28,5663,108.199
29,5689,109.154
30,5747,111.287
